#1
double COP(8,6)
0	25	35	45	55	60	
-10	4.10	3.26	2.54	0	0	
-5	4.70	3.84	2.98	0	0	
0	5.33	4.35	3.50	2.85	0	
5	6.01	4.91	3.93	3.16	2.81	
10	6.63	5.49	4.36	3.55	3.06	
15	0	6.34	5.02	3.85	3.47	
20	0	6.90	5.26	4.27	3.73	

double Pthermal(8,6)
0	25	35	45	55	60	
-10	103.1	100.3	95.0	0	0	
-5	119.7	116.3	112.2	0	0	
0	138.9	135.3	130.0	125.4	0	
5	159.7	153.5	146.2	138.2	139.2	
10	180.3	174.9	165.0	156.0	152.2	
15	0	202.7	183.6	174.0	170.8	
20	0	224.7	207.6	194.8	188.7	
